objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237650795139170923,21.14293,20.36556,19.07995,18.57603,18.04216,0.3519741,21.8565,21.33323,20.22637,19.69687,19.07338,21.14293,20.36556,19.07995,18.57603,18.04216,129.912962754265,-0.792951020001112,3,QSO,BROADLINE
1237650795139171122,23.08916,22.28731,20.86992,20.29337,19.90182,0.5325769,22.99046,22.41418,21.19005,20.59941,20.24203,23.08916,22.28731,20.86992,20.29337,19.90182,129.917917233632,-0.650494138782405,3,QSO,null
1237650795139236578,23.90411,22.46832,21.89341,21.66336,20.60378,1.803799,23.48557,22.48495,21.931,21.69981,20.6276,23.90411,22.46832,21.89341,21.66336,20.60378,130.042208699917,-0.836085631104981,3,QSO,null
1237653652913455409,21.93752,21.53329,21.20867,20.70012,20.45954,7.00387,22.02091,21.614,21.29858,20.80344,20.55019,21.93752,21.53329,21.20867,20.70012,20.45954,11.3282374064736,15.6683232862849,6,QSO,null
1237653653450391854,21.75512,21.89737,21.29325,21.0148,20.80577,1.192872,21.73746,21.9343,21.34722,21.04173,20.87355,21.75512,21.89737,21.29325,21.0148,20.80577,11.406606472895,16.0663066986573,6,QSO,null
1237653653450392121,22.40584,22.19397,21.96916,21.92995,21.67155,1.733885,22.30847,22.24679,22.01389,21.99141,21.69878,22.40584,22.19397,21.96916,21.92995,21.67155,11.433969234026,16.0239198506528,6,QSO,BROADLINE
1237653653450457402,21.84014,21.55772,21.18904,21.04805,20.74619,1.071749,21.99456,21.69128,21.33597,21.1923,21.01599,21.84014,21.55772,21.18904,21.04805,20.74619,11.6398390119529,16.1046348631322,6,QSO,null
1237653665797636274,19.84468,19.81185,19.34707,19.43131,19.53449,1.219032,19.84858,19.81773,19.34853,19.44128,19.53776,19.84468,19.81185,19.34707,19.43131,19.53449,154.358951737934,2.9496277169162,6,QSO,BROADLINE
1237654600491532778,25.27229,21.52778,19.98819,19.17394,18.71268,0.4523311,24.56465,22.34735,20.76892,19.96449,19.52294,25.27229,21.52778,19.98819,19.17394,18.71268,154.327616853598,3.51895667718853,3,QSO,null
1237654604249497844,20.00909,19.6786,19.60322,19.4545,19.41912,1.544528,20.00506,19.68744,19.59884,19.44702,19.42972,20.00909,19.6786,19.60322,19.4545,19.41912,154.461305812991,3.28546109619113,6,QSO,BROADLINE
1237654604786761939,19.9502,19.75548,19.64961,19.68265,19.41329,0.8769053,19.9541,19.79,19.6808,19.74105,19.4573,19.9502,19.75548,19.64961,19.68265,19.41329,155.23879479713,3.79360374308376,6,QSO,BROADLINE
1237654605323567329,20.12133,20.09024,20.12833,19.98921,19.63154,2.088657,20.21037,20.16951,20.27442,20.09916,19.7256,20.12133,20.09024,20.12833,19.98921,19.63154,155.17732693805,4.14779122762962,6,QSO,BROADLINE
1237654871599088446,23.40266,21.09745,20.5812,19.91654,20.07166,0.5611417,23.85901,21.46748,21.10065,20.37445,20.60752,23.40266,21.09745,20.5812,19.91654,20.07166,129.618080676319,-1.60010442246289,3,QSO,null
1237654871599153863,25.01636,20.91824,20.73568,20.76696,20.75002,1.340091,24.96658,20.90863,20.71108,20.74467,20.73054,25.01636,20.91824,20.73568,20.76696,20.75002,129.681879596169,-1.60749281794323,6,QSO,null
1237654871599219259,20.26115,20.06384,20.05531,19.83132,19.69734,1.81095,20.24068,20.06492,20.04385,19.81721,19.67941,20.26115,20.06384,20.05531,19.83132,19.69734,129.826967084511,-1.48906375922155,6,QSO,BROADLINE
1237654872672895523,21.24782,20.97492,20.23964,19.96401,19.40152,0.3504831,21.34277,21.12858,20.42243,20.18796,19.60622,21.24782,20.97492,20.23964,19.96401,19.40152,129.723114748549,-0.631390590071384,3,QSO,BROADLINE
1237655176542290712,24.38201,22.46345,21.10441,20.29406,19.99209,0.547458,24.2845,22.69182,21.4363,20.67001,20.31866,24.38201,22.46345,21.10441,20.29406,19.99209,129.574311517937,-1.6499219113658,3,QSO,null
1237655176542356177,21.10754,20.75039,20.80429,20.69905,20.74917,2.228067,21.06222,20.74651,20.79649,20.69349,20.71291,21.10754,20.75039,20.80429,20.69905,20.74917,129.666419292584,-1.73852723828422,6,QSO,BROADLINE
1237655176542356187,21.70097,21.37235,20.87952,20.9406,20.55223,0.9789774,21.67825,21.36901,20.86912,20.92731,20.50359,21.70097,21.37235,20.87952,20.9406,20.55223,129.709898946152,-1.73273055899226,6,QSO,null
1237655176542421665,21.6361,21.41247,21.11641,21.00745,20.95012,1.365416,21.84933,21.72779,21.49607,21.38565,21.22976,21.6361,21.41247,21.11641,21.00745,20.95012,129.752505948716,-1.71529712774956,3,QSO,null
1237678600242528525,20.97599,20.66943,20.25177,20.22048,20.12524,1.269518,20.97235,20.68334,20.26027,20.22164,20.12976,20.97599,20.66943,20.25177,20.22048,20.12524,26.1448971709604,15.42743532132,6,QSO,null
1237678601309520184,20.5045,20.46064,20.37615,20.20951,19.8745,1.952897,20.50918,20.4588,20.36665,20.20858,19.88372,20.5045,20.46064,20.37615,20.20951,19.8745,10.2603707135924,17.2658398528724,6,QSO,BROADLINE
1237678601309520185,21.17031,20.74512,20.41053,20.20721,20.20058,1.571898,21.19994,20.75547,20.41007,20.22683,20.22645,21.17031,20.74512,20.41053,20.20721,20.20058,10.2671412902519,17.4015786914214,6,QSO,BROADLINE
1237678601309585568,20.05179,19.79604,19.76794,19.58907,19.62469,1.885437,20.01164,19.80457,19.75648,19.58733,19.59949,20.05179,19.79604,19.76794,19.58907,19.62469,10.3634270765816,17.2903273497154,6,QSO,BROADLINE
1237678601309585701,21.33899,21.1839,20.99865,20.57682,20.2758,1.809765,21.32063,21.19109,21.03625,20.59995,20.30382,21.33899,21.1839,20.99865,20.57682,20.2758,10.3263489061887,17.2817754996139,6,QSO,BROADLINE
1237678601309585708,20.94085,20.68342,20.53146,20.27724,20.15261,1.523108,20.94355,20.70366,20.57117,20.30874,20.18711,20.94085,20.68342,20.53146,20.27724,20.15261,10.3458821614001,17.3240117831741,6,QSO,BROADLINE
1237678601309585785,22.42459,22.20041,21.97957,21.72785,22.04432,1.34418,22.46232,22.24765,22.03896,21.78022,22.03063,22.42459,22.20041,21.97957,21.72785,22.04432,10.3420930103179,17.3995592348177,6,QSO,null
1237678601309650991,18.88351,18.6157,18.38411,18.40821,17.81591,0.3551816,18.97795,18.71362,18.55904,18.59678,17.97645,18.88351,18.6157,18.38411,18.40821,17.81591,10.5885020864067,17.2413557772964,6,QSO,BROADLINE
1237678601309651632,23.07492,23.43726,21.39847,20.24725,19.37952,1.35422,24.20872,24.02484,22.2061,21.14949,20.30284,23.07492,23.43726,21.39847,20.24725,19.37952,10.5188985301697,17.357061944846,3,QSO,null
1237678601846391048,20.59221,20.64295,20.58158,20.09938,19.94331,1.829544,20.5722,20.66102,20.60188,20.1223,19.9869,20.59221,20.64295,20.58158,20.09938,19.94331,10.3037871590927,17.8011062554932,6,QSO,BROADLINE
