objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237661873488724000,19.24669,17.12202,16.28101,15.96916,15.81007,3.120225E-05,19.23436,17.11252,16.28347,15.96309,15.80189,19.24669,17.12202,16.28101,15.96916,15.81007,219.882014319798,39.9052177262594,6,STAR,K3
1237661873488658530,19.39422,18.2848,17.83305,17.66451,17.59568,-0.0001348209,19.39034,18.28442,17.83593,17.66271,17.59403,19.39422,18.2848,17.83305,17.66451,17.59568,219.71049514728,39.958080576182,6,STAR,F9
1237661873488658526,19.86457,18.13536,17.40261,17.11185,16.97045,-0.0001319014,19.83708,18.13713,17.40584,17.11294,16.9583,19.86457,18.13536,17.40261,17.11185,16.97045,219.689135402942,39.9260624953843,6,STAR,K3
1237661966351073295,20.40599,19.83207,19.82041,19.88053,19.91631,1.092161E-05,20.41765,19.86437,19.84398,19.89935,19.96179,20.40599,19.83207,19.82041,19.88053,19.91631,168.881536336909,40.5400126225592,6,STAR,WD
1237661966351007916,19.63691,18.65522,18.43622,18.36672,18.34025,0.0002211539,19.62593,18.66062,18.43607,18.37862,18.33237,19.63691,18.65522,18.43622,18.36672,18.34025,168.771174285788,40.5914906810331,6,STAR,A0
1237661966351007867,19.68578,18.3618,17.80256,17.56314,17.43377,0.0001505795,19.68781,18.36827,17.80107,17.5635,17.43392,19.68578,18.3618,17.80256,17.56314,17.43377,168.719435410751,40.507092813116,6,STAR,G2
1237661966351007768,17.60328,16.51861,16.17734,16.05553,16.04568,-4.064984E-05,17.61093,16.52512,16.17774,16.06704,16.04708,17.60328,16.51861,16.17734,16.05553,16.04568,168.738737316807,40.5276532624073,6,STAR,F5
1237661966351007764,17.23169,16.16407,15.849,15.73128,15.71868,8.687956E-06,17.21636,16.16981,15.85454,15.7262,15.71846,17.23169,16.16407,15.849,15.73128,15.71868,168.683932155572,40.6388486373837,6,STAR,F5
1237661966350942320,19.41267,18.51252,18.28016,18.19547,18.20145,0.0005576316,19.41245,18.52536,18.294,18.21475,18.20998,19.41267,18.51252,18.28016,18.19547,18.20145,168.55478748871,40.5932895238147,6,STAR,F5
1237661966350942276,18.90277,17.59106,17.05922,16.87431,16.7704,8.941699E-05,18.90157,17.59917,17.07156,16.88847,16.77449,18.90277,17.59106,17.05922,16.87431,16.7704,168.636212122225,40.5892475182518,6,STAR,F9
1237661874014847016,17.41814,16.39613,16.01299,15.87242,15.82255,-0.0002535848,17.39509,16.41939,16.00999,15.89455,15.84151,17.41814,16.39613,16.01299,15.87242,15.82255,187.186993350917,45.865795342575,6,STAR,F2
1237661851470332006,21.78345,20.35602,19.86084,17.98507,17.31292,-4.27431E-05,21.92702,20.43729,20.12894,18.00512,17.48551,21.78345,20.35602,19.86084,17.98507,17.31292,188.044160622938,45.3018917551489,6,STAR,K3
