objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237654669202948211,20.09653,18.01077,16.98716,16.58109,16.24033,0.1250497,20.95136,18.97874,17.99026,17.64942,17.27597,20.09653,18.01077,16.98716,16.58109,16.24033,159.591552375605,-0.8077996149877,3,GALAXY,null
1237654669203013642,18.54338,16.50924,15.48251,15.01917,14.72694,0.09515215,20.22817,18.28606,17.25502,16.91544,16.53214,18.54338,16.50924,15.48251,15.01917,14.72694,159.78892393039,-0.787741756931969,3,GALAXY,BROADLINE
1237654669203013705,20.45379,18.50611,17.55678,17.11348,16.82327,0.09465899,21.1067,19.22999,18.25963,17.87798,17.57767,20.45379,18.50611,17.55678,17.11348,16.82327,159.745381474089,-0.796068929126044,3,GALAXY,null
1237654669203013716,20.52497,18.63557,17.70111,17.28648,16.97472,0.09519388,21.34402,19.4941,18.5577,18.19531,17.89185,20.52497,18.63557,17.70111,17.28648,16.97472,159.765265808426,-0.820770460124043,3,GALAXY,null
1237654669203013744,18.33981,16.75874,16.15408,15.77779,15.62009,0.07704032,19.11449,17.66248,17.10502,16.8026,16.66192,18.33981,16.75874,16.15408,15.77779,15.62009,159.815415084007,-0.654703322991526,3,GALAXY,AGN
1237654669739622555,20.36906,18.1912,17.15575,16.68894,16.29217,0.09543502,21.82571,19.6928,18.77431,18.28195,17.84547,20.36906,18.1912,17.15575,16.68894,16.29217,159.204394369265,-0.257394846561027,3,GALAXY,null
1237654669739688090,20.07936,18.45047,17.5212,17.03214,16.67835,0.1301479,21.46985,19.95478,19.04645,18.44363,18.08728,20.07936,18.45047,17.5212,17.03214,16.67835,159.422239917075,-0.29273902689268,3,GALAXY,STARFORMING
1237654669739688130,19.4628,18.16518,17.4457,17.04269,16.8303,0.09520604,21.43862,20.33323,19.68183,19.11353,18.9053,19.4628,18.16518,17.4457,17.04269,16.8303,159.39312170234,-0.220227720541572,3,GALAXY,STARFORMING
1237654669739753606,18.18564,16.9764,16.42838,16.0688,15.94742,0.09460202,20.66956,19.55842,18.95063,18.45297,18.33211,18.18564,16.9764,16.42838,16.0688,15.94742,159.540939008376,-0.220772819859855,3,GALAXY,STARFORMING
1237654669739753646,20.32167,18.64066,17.55259,17.04861,16.70837,0.1900907,22.79764,20.6916,19.4599,18.8561,18.56081,20.32167,18.64066,17.55259,17.04861,16.70837,159.548969221893,-0.329725215490368,3,GALAXY,null
1237654669739819119,22.215,19.89259,18.66065,18.11246,17.58366,0.09629866,22.25368,20.03142,18.81479,18.26567,17.75614,22.215,19.89259,18.66065,18.11246,17.58366,159.604872442587,-0.391983144846311,6,GALAXY,AGN
1237654669739819126,20.60817,18.65178,17.70142,17.28834,16.96259,0.0930267,21.21993,19.39144,18.42746,18.06817,17.76168,20.60817,18.65178,17.70142,17.28834,16.96259,159.603702569194,-0.29970530758798,3,GALAXY,null
1237654669739819130,19.68663,18.00379,17.11114,16.67557,16.33578,0.09673434,21.54306,19.67844,18.6529,18.24719,17.90119,19.68663,18.00379,17.11114,16.67557,16.33578,159.611616992664,-0.415162087483363,3,GALAXY,STARFORMING
1237654669739819142,19.06218,17.7377,17.15028,16.88516,16.85766,0.01869544,21.12385,19.87155,19.22002,19.08977,18.90846,19.06218,17.7377,17.15028,16.88516,16.85766,159.658789609099,-0.344984625774821,3,GALAXY,STARFORMING
1237654669739884548,19.79832,18.46217,17.4588,16.96334,16.62394,0.2189591,21.24231,20.05536,19.01817,18.65238,18.3285,19.79832,18.46217,17.4588,16.96334,16.62394,159.743553862416,-0.410709386453276,3,GALAXY,STARFORMING
1237654669739884626,15.82959,15.02525,14.66218,14.62634,14.46751,0.01855623,18.20296,17.8468,17.58325,17.85843,17.73723,15.82959,15.02525,14.66218,14.62634,14.46751,159.851599954049,-0.389285815281824,3,GALAXY,STARBURST
1237654669739950159,17.03369,16.02991,15.62721,15.45138,15.30439,0.01881749,19.26251,18.36908,18.03979,17.95607,17.87149,17.03369,16.02991,15.62721,15.45138,15.30439,159.893778952022,-0.253018590117203,3,GALAXY,STARBURST
1237654669740015774,20.38593,18.60195,17.65844,17.15282,16.8238,0.1131507,22.61167,20.70848,19.86308,19.33128,18.91437,20.38593,18.60195,17.65844,17.15282,16.8238,160.097496292394,-0.229810322861526,3,GALAXY,null
1237657630586306713,17.34706,15.87576,15.11402,14.68299,14.36221,0.05065902,18.70862,17.41646,16.96988,16.49573,16.02496,17.34706,15.87576,15.11402,14.68299,14.36221,132.141669487846,39.4520804754805,3,GALAXY,AGN BROADLINE
1237657630586306978,19.09792,18.13647,17.81913,17.68201,17.65637,0.03029181,21.85405,20.87818,20.89262,20.72415,20.24209,19.09792,18.13647,17.81913,17.68201,17.65637,132.159851648457,39.3825765804589,3,GALAXY,STARFORMING
1237657630586372289,18.318,17.18806,16.65234,16.304,16.14601,0.1262726,20.41629,19.3871,19.0683,18.66582,18.1759,18.318,17.18806,16.65234,16.304,16.14601,132.403428205119,39.4674099371407,3,GALAXY,STARFORMING
1237657630586372316,23.64223,20.25454,18.55703,17.92371,17.59954,0.3491002,23.75527,21.8849,20.32466,19.70632,19.12275,23.64223,20.25454,18.55703,17.92371,17.59954,132.346556229712,39.5289433821885,3,GALAXY,null
1237670965917319346,23.70617,21.8244,20.29459,19.52274,19.02623,0.4375558,23.87595,22.49409,21.07944,20.29538,19.84136,23.70617,21.8244,20.29459,19.52274,19.02623,128.475683197415,11.8498180190636,3,GALAXY,null
1237670965917254501,23.25411,22.59593,20.79711,19.52497,18.95463,0.6007955,24.06029,23.3112,21.78326,20.5644,20.05733,23.25411,22.59593,20.79711,19.52497,18.95463,128.29443225802,11.8078973108519,3,GALAXY,null
1237670965917189436,23.77676,22.83172,21.28601,20.03985,19.56171,0.6004429,23.7423,23.52513,22.17322,20.83984,20.28271,23.77676,22.83172,21.28601,20.03985,19.56171,128.207547130598,11.8254938762162,3,GALAXY,null
1237670965917189306,26.37525,22.88175,20.41797,19.50297,18.9647,0.4854462,25.64108,23.53776,21.05553,20.20817,19.64934,26.37525,22.88175,20.41797,19.50297,18.9647,128.100773115348,11.7960219871772,3,GALAXY,null
1237670965917188261,25.69654,21.65659,20.30744,19.53696,19.54554,0.3015725,25.10269,22.75017,21.46005,20.73426,20.6732,25.69654,21.65659,20.30744,19.53696,19.54554,128.157862041174,11.8592630514502,3,GALAXY,null
